Empresa;Data Referência;Ano;Trimestre;Metodo Contabil;Ativo Circulante;Ativo não circulante;Passivo Circulante;Passivo não circulante;Receita liquida operacional;Lucro liquido;Patrimonio liquido
BRF;31/03/2010;2010;1T;L.S.;9873174;17640555;5112583;9355860;5047371;61119;13041083
BRF;30/06/2010;2010;2T;L.S.;9725017;17669861;5151473;9071916;10578954;232570;13168963
BRF;30/09/2010;2010;3T;L.S.;9470634;17713586;5046335;8670748;16281023;443948;13458986
BRF;31/12/2010;2010;4T;IFRS;9852130;17899417;5686384;8428645;22681253;804106;13628967
BRF;31/03/2011;2011;1T;IFRS;10226511;17668545;5469941;8401548;6020494;383468;14012917
BRF;30/06/2011;2011;2T;IFRS;10989875;17903071;6392323;8282833;12314842;881386;14206482
BRF;30/09/2011;2011;3T;IFRS;11092298;18386285;7025243;8280508;18607208;1246400;14174205
BRF;31/12/2011;2011;4T;IFRS;11123751;18859705;7987829;7885710;25706238;1367409;14070340
BRF;31/03/2012;2012;1T;IFRS;10437777;19180234;7418427;7833699;6337122;153199;14322829
BRF;30/06/2012;2012;2T;IFRS;11609079;19742477;7686664;9594728;13179249;159586;14018987
BRF;30/09/2012;2012;3T;IFRS;11362937;20239365;7447663;9950735;20371737;250458;14159312
BRF;31/12/2012;2012;4T;IFRS;11589980;19182268;7464218;8731990;28517383;813227;14538528
BRF;31/03/2013;2013;1T;IFRS;10969776;19417642;6899071;8470821;7208896;358534;14983458
BRF;30/06/2013;2013;2T;IFRS;11972385;19614692;7505686;9500263;14734343;566972;14546091
BRF;30/09/2013;2013;3T;IFRS;12343638;19591239;7687982;9382648;22312793;853987;14822624
BRF;31/12/2013;2013;4T;IFRS;13242523;19132046;8436031;9242384;30521246;1062430;14655071
BRF;31/03/2014;2014;1T;IFRS;13086094;18896564;7809449;9009192;7338813;315448;15121535
BRF;30/06/2014;2014;2T;IFRS;14333748;18965232;8703970;9459103;15029640;582517;15092785
BRF;30/09/2014;2014;3T;IFRS;14772142;19019949;8285249;10134293;23010736;1206788;15339760
BRF;31/12/2014;2014;4T;IFRS;17488245;18615490;9569126;10844666;29006843;2225036;15590477
BRF;31/03/2015;2015;1T;IFRS;17774588;18942343;9466803;12325494;7048345;464606;14807390
BRF;30/06/2015;2015;2T;IFRS;17176132;19007451;9730545;11655783;14960876;819013;14528411
BRF;30/09/2015;2015;3T;IFRS;19444466;20545263;10632991;15123693;23241825;1696118;13906096
BRF;31/12/2015;2015;4T;IFRS;19180049;21207965;11621113;14931048;32196601;3111170;13516777
BRF;31/03/2016;2016;1T;IFRS;18648055;22828309;11454017;16177978;8120330;39062;13479483
BRF;30/06/2016;2016;2T;IFRS;18053246;23501650;13035368;15658276;16634898;69668;12558716
BRF;30/09/2016;2016;3T;IFRS;19075276;24051222;13572057;16859681;25142641;87741;12385959
BRF;31/12/2016;2016;4T;IFRS;18893738;24051198;12640423;18085160;33732866;-372383;11839978
BRF;31/03/2017;2017;1T;IFRS;18937579;24433135;12333388;19114189;7809449;-281434;11542266
BRF;30/06/2017;2017;2T;IFRS;21851195;26230432;13464828;22874587;15836073;-448745;11361949
BRF;30/09/2017;2017;3T;IFRS;21582432;26703198;14229748;21514307;24568341;-318746;12069888
BRF;31/12/2017;2017;4T;IFRS;19185523;26042958;14907874;18607825;33469352;-1125572;11200211
BRF;31/03/2018;2018;1T;IFRS;18992897;26004722;17553261;15832295;8203033;-124322;11076396
BRF;30/06/2018;2018;2T;IFRS;19315091;26214082;17830101;18082401;16384106;-1709240;9018879
BRF;30/09/2018;2018;3T;IFRS;18253204;26265503;15246812;20031604;24983062;-2351802;8625215
BRF;31/12/2018;2018;4T;IFRS;19030900;23351477;14488640;20361960;30188421;-4448061;6964627
BRF;31/03/2019;2019;1T;IFRS;17561690;25326669;14522738;21066462;7359250;-1000935;6761783
BRF;30/06/2019;2019;2T;IFRS;16572096;25589084;14469911;20246383;15697259;-678110;7207065
BRF;30/09/2019;2019;3T;IFRS;17013842;26337616;13633561;22298353;24156745;-384203;7149921
BRF;31/12/2019;2019;4T;IFRS;15045427;26655204;13324005;20228277;33446980;297612;7895623
Via Varejo;31/03/2010;2010;1T;L.S.;1293889;1023860;1177644;487245;1257471;-5932;652860
Via Varejo;30/06/2010;2010;2T;L.S.;1439424;1123627;1268928;603977;2593488;31256;690146
Via Varejo;30/09/2010;2010;3T;L.S.;1444688;1133545;1281869;629554;4107974;13972;666810
Via Varejo;31/12/2010;2010;4T;IFRS;7760630;2131198;5317027;2005920;8606042;-63157;2544609
Via Varejo;31/03/2011;2011;1T;IFRS;7853072;2159959;5431824;2048161;4884407;-24216;2509275
Via Varejo;30/06/2011;2011;2T;IFRS;8616023;2229590;6196859;2108665;9925474;-31637;2513801
Via Varejo;30/09/2011;2011;3T;IFRS;8389390;2636556;6309395;2167515;14851916;-23834;2522014
Via Varejo;31/12/2011;2011;4T;IFRS;8401963;3272967;6877477;2121938;21016716;90465;2636622
Via Varejo;31/03/2012;2012;1T;IFRS;7569130;3176794;5342070;2712888;5491084;22248;2659179
Via Varejo;30/06/2012;2012;2T;IFRS;8026012;3272938;5699332;2902634;10808803;30830;2668071
Via Varejo;30/09/2012;2012;3T;IFRS;8224796;3435057;5983368;2912106;16203004;100651;2737637
Via Varejo;31/12/2012;2012;4T;IFRS;8512511;3569961;7439341;1647543;22846250;320709;2954714
Via Varejo;31/03/2013;2013;1T;IFRS;8316557;3593531;7135416;1679502;6000202;106430;3061416
Via Varejo;30/06/2013;2013;2T;IFRS;8541951;3647891;7423145;1575821;12062285;207917;3163081
